ID,ISO_Code,Year,Temperature_change,Drought,Extreme_temperature,Flood,Landslide,Storm,TOTAL,Wildfire
497,32.0,1961,0.122,,,,,,,
498,32.0,1962,-0.046,,,,,,,
499,32.0,1963,0.162,,,,,,,
500,32.0,1964,-0.343,,,,,,,
501,32.0,1965,0.09,,,,,,,
502,32.0,1966,-0.163,,,,,,,
503,32.0,1967,0.0,,,,,,,
504,32.0,1968,0.472,,,,,,,
505,32.0,1969,0.292,,,,,,,
506,32.0,1970,0.438,,,,,,,
507,32.0,1971,-0.26,,,,,,,
508,32.0,1972,-0.008,,,,,,,
509,32.0,1973,-0.139,,,,,,,
510,32.0,1974,-0.106,,,,,,,
511,32.0,1975,-0.021,,,,,,,
512,32.0,1976,-0.321,,,,,,,
513,32.0,1977,0.432,,,,,,,
514,32.0,1978,0.362,,,,,,,
515,32.0,1979,0.266,,,,,,,
516,32.0,1980,0.373,,,2.0,,,2.0,
517,32.0,1981,0.378,,,,,,,
518,32.0,1982,0.359,,,1.0,,,1.0,
519,32.0,1983,0.046,,,2.0,,,2.0,
520,32.0,1984,-0.1,,,,1.0,,1.0,
521,32.0,1985,0.308,,,2.0,,,2.0,
522,32.0,1986,0.46,,,1.0,,1.0,2.0,
523,32.0,1987,0.446,,,1.0,,1.0,3.0,1.0
524,32.0,1988,-0.192,,,1.0,,,1.0,
525,32.0,1989,0.611,,,,,,,
526,32.0,1990,0.436,,,1.0,,,1.0,
527,32.0,1991,0.261,,,,,,,
528,32.0,1992,-0.261,,,2.0,,,2.0,
529,32.0,1993,0.086,,,3.0,,1.0,4.0,
530,32.0,1994,0.487,,,,,,1.0,1.0
531,32.0,1995,0.259,,1.0,2.0,,1.0,4.0,
532,32.0,1996,0.512,,,,,,,
533,32.0,1997,0.759,,,1.0,,,1.0,
534,32.0,1998,0.351,,,1.0,,1.0,2.0,
535,32.0,1999,0.16,,,,,,1.0,1.0
536,32.0,2000,-0.186,,1.0,4.0,,2.0,8.0,1.0
537,32.0,2001,0.425,,1.0,3.0,,2.0,7.0,1.0
538,32.0,2002,0.278,,1.0,1.0,,1.0,3.0,
539,32.0,2003,0.635,1.0,,2.0,,1.0,4.0,
